"plantID","wild_type","lesion","cross","photograph","stature","tassel","ear","other_phenotypes","observer","datetime","mutanta"
"11N3399:0007709",0,1,1,1,"shorter_by_1ft",,,,"toni",,
"11N3399:0007710",0,1,0,0,"shorter_by_1ft",,"no ear",,"toni",,
"11N3400:0007801",0,1,1,1,"shorter_by_2ft",,,,"toni",,
"11N3400:0007805",0,1,1,1,0,,,,"toni",,
"11N3400:0007809",0,1,1,1,"shorter_by_1ft",,,,"toni",,
"11N3400:0007811",1,0,0,0,0,,,,"toni",,
"11N3401:0007903",0,1,1,1,0,,,,"toni",,
"11N3401:0007906",1,0,0,0,"shorter_by_1ft","poor tassel",,,"toni",,
"11N3401:0007907",1,0,0,0,0,,,,"toni",,
"11N3401:0007908",1,0,0,0,0,,,,"toni",,
"11N3401:0007909",1,0,0,0,0,,,,"toni",,
"11N3401:0007910",1,0,0,0,0,,,,"toni",,
"11N1235:0008001",0,1,0,0,"shorter_by_2ft",,,,"toni",,
"11N1235:0008002",1,0,0,0,"shorter_by_2ft",,,,"toni",,
"11N1235:0008003",1,0,0,0,"shorter_by_2ft",,,,"toni",,
"11N1235:0008004",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N1235:0008005",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N1235:0008006",0,1,0,0,"shorter_by_1ft",,,,"toni",,
"11N1235:0008007",1,0,0,0,"shorter_by_2ft",,"small ear",,"toni",,
"11N1235:0008008",1,0,0,0,0,,,,"toni",,
"11N1235:0008009",1,0,0,0,0,,,,"toni",,
"11N1235:0008010",0,1,0,0,"shorter_by_2ft",,,,"toni",,
"11N1235:0008011",0,1,0,0,"shorter_by_3ft",,"small ear",,"toni",,
"11N3402:0008101",1,0,0,0,"shorter_by_3ft",,,,"toni",,
"11N3402:0008102",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3402:0008103",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3402:0008104",1,0,0,0,0,,,,"toni",,
"11N3402:0008105",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3402:0008106",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3402:0008109",0,1,1,1,"shorter_by_1ft",,,,"toni",,
"11N3402:0008110",0,1,1,1,"shorter_by_1ft",,,,"toni",,
"11N3402:0008111",0,1,1,1,"shorter_by_1ft",,,,"toni",,
"11N3403:0008201",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3403:0008203",0,1,1,1,"shorter_by_1ft",,,,"toni",,
